couponID,store,state,stateCode,couponSavings,couponCashValue,couponExpires,department,productName
506,Whole Foods,Nevada,NV,4.152838006,0.055547494,2020-05-17,Candy,Gerber Graduates For Toddlers Lil' Meals Pasta Shells & Cheese
981,Hagen's,Vermont,VT,8.950777108,0.087688388,2021-04-04,Baking,Powerbar Protein Plus High Protein Bar Vanilla Yogurt
349,Whole Foods,New Hampshire,NH,1.392178533,0.086409199,2021-10-10,Spices,Every Man Jack Shave Cream
444,Safeway,Idaho,ID,8.510195015,0.030375128,2021-10-06,Snacks,Ahold Premium Paper Towels Giant Rolls - 8 Ct
116,Whole Foods,Rhode Island,RI,1.384591112,0.051099084,2021-04-12,Baking,Piacci Parmesan Nuggets
93,Metropolitan Market,Utah,UT,5.534040353,0.07583695,2021-05-27,Seafood,Organix Smoothing Shea Butter Conditioner
534,Albertson's,Minnesota,MN,6.399785252,0.045794239,2021-05-06,Household,Dr. Scholl's For Her Rub Relief Strips
804,Grocery Outlet,Ohio,OH,8.643242661,0.053720302,2021-11-10,Produce,Guida's Whole Milk
932,Sam's Club,Oklahoma,OK,1.999279876,0.066003069,2022-01-27,Ethnic,Hime Wasabi Powdered Sushi
514,Albertson's,Missouri,MO,6.981870351,0.077086069,2022-02-09,Produce,Boneless Pork Shoulder Roast
438,Safeway,Arkansas,AR,0.644590713,0.016610642,2021-11-05,Meat,Boneless Pork Shoulder Roast
624,PCC,Iowa,IA,5.930357029,0.003606235,2020-11-23,Furniture,Ahold Simply Enjoy Gourmet Spread Smoky Fig & Roasted Garlic
783,Safeway,Montana,MT,7.389943208,0.002817556,2021-06-03,Spices,Cuisinart Citrus Juicer Pulp Control
644,Albertson's,Nevada,NV,8.003560454,0.047779042,2021-08-13,Dairy,Velveeta Cheese
434,Fred Meyer,South Carolina,SC,2.712185378,0.016313822,2020-06-18,Appliances,Lotrimin Ultra Antifungal Athlete's Foot Cream
528,Trader Joes,Indiana,IN,0.300353413,0.034107498,2021-08-12,Bakery,Pasta Lensi Gigli #253
781,Hagen's,Wisconsin,WI,7.739285969,0.021180384,2020-05-24,Produce,Cherrybrook Kitchen D.w. Sugar Cookie Mix
186,Albertson's,Tennessee,TN,8.924105004,0.026352365,2020-12-22,Candy,Herb Pharm Black Elderberry Herbal Glycerite Extract
756,City Market,Ohio,OH,9.667388411,0.002089206,2020-10-19,Meat,Gold Bond Medicated Cornstarch Plus Baby Powder
777,Metropolitan Market,West Virginia,WV,1.369739614,0.08309771,2020-10-07,Beverages,General Mills Sweet 'n Salty Honey Nut Chex Mix
489,City Market,New Hampshire,NH,4.36976336,0.013975289,2020-10-27,Household,Udi's Soft N' Chewy Granola Bars Chocolate Chip - 5 Ct
4,Metropolitan Market,Georgia,GA,7.258209864,0.078727536,2020-10-13,Dairy,Smoked Pork Hocks - 4 Ct
311,PCC,Alabama,AL,6.99081347,0.02662104,2021-02-07,Seafood,Kelapo Extra Virgin Coconut Oil Baking Sticks
310,Amazon Fresh,South Dakota,SD,4.505160918,0.001035212,2021-09-02,Household,Margaret Holmes Peanut Patch Green Boiled Peanuts Hot & Spicy
821,Costco,Michigan,MI,7.153820529,0.070780333,2020-10-20,Candy,Kraft Velveeta Shells & Cheese 2% Milk
289,PCC,Kansas,KS,2.861213832,0.081504075,2021-06-26,Frozen,Sylvania Daylight 75 Watt Indoor Light Bulb
292,Grocery Outlet,Hawaii,HI,8.120150125,0.027400442,2021-07-25,Electronics,Sushi Chef Wakame Soup Mix Traditional Japanese Style
997,Metropolitan Market,Oregon,OR,7.932419498,0.060293224,2020-08-04,Furniture,Campbell's Homestyle Soup Italian-style Wedding
46,Albertson's,Kentucky,KY,5.054871899,0.090814067,2022-02-27,Frozen,Sapore Sensuale Cake Toasted Almond
232,Grocery Outlet,Oklahoma,OK,9.389787052,0.092812691,2021-05-12,Electronics,Goody Ouchless No Metal Elastics - 29 Ct
351,City Market,Minnesota,MN,4.09330273,0.008154506,2021-06-26,Spices,Ahold Cooked Shrimp Large Tail-on
121,City Market,Arizona,AZ,1.806346482,0.090509891,2021-09-01,Appliances,"Smart Living 10.5"" X 8"" 3 Subject Notebook College Ruled"
560,Sam's Club,Kentucky,KY,9.909302194,0.009316438,2020-01-26,Baking,Playtex Plastic Tampons Gentle Glide 360 Multi-pack Regular/super Fresh Scent - 18 Ct
266,Whole Foods,Maine,ME,3.72505583,0.076470998,2020-11-18,Seafood,Hershey's Caramel Syrup
201,Costco,Oregon,OR,6.413092232,0.024563075,2022-05-20,Meat,Windex Original Glass & Surface Wipes - 28 Pk
527,Albertson's,Maryland,MD,1.792791886,0.01479061,2020-10-15,Snacks,Olay Total Effects 7-in-1 Tone Correcting Eye Treatment 0.5 Fl Oz
962,Trader Joes,Maryland,MD,6.357184038,0.060725763,2021-05-29,Bakery,Alberto Vo5 Normal Balancing Shampoo
12,Trader Joes,Washington,WA,4.890939768,0.020692975,2022-01-25,Electronics,Milani Total Lash Cover Mascara 105 Black
307,Grocery Outlet,New Hampshire,NH,1.613103948,0.060907862,2022-04-29,Appliances,Sylvia's Restaurant Specially-seasoned Field Peas With Snaps
345,Amazon Fresh,West Virginia,WV,8.939922134,0.050703788,2020-08-31,Meat,Nabisco Wheat Thins Snacks
269,Albertson's,Iowa,IA,4.070025267,0.090745055,2021-02-03,Furniture,Careone Whitening Toothbrush Soft
24,Metropolitan Market,Connecticut,CT,9.635002422,0.094572903,2021-04-21,Meat,Vaseline Spray & Go Moisturizer Total Moisture
455,Safeway,Wyoming,WY,9.912920872,0.019411716,2021-01-28,Sundries,Nature Made Fish Oil 1200mg Omega-3 360mg Liquid Softgels Lemon Flavor - 60 Ct
971,Safeway,Alaska,AK,2.875658426,0.035223703,2020-05-25,Electronics,Belluci Extra Virgin Olive Oil 100% Italian
838,PCC,Virginia,VA,8.324556211,0.001988259,2022-05-03,Snacks,Ruffles Sour Cream & Onion Potato Chips
983,PCC,New Mexico,NM,8.057662305,0.063836927,2021-02-21,Meat,Turkey Hill Premium Ice Cream Party Cake
769,Safeway,Massachusetts,MA,5.332982326,0.024357879,2021-06-05,Spices,Tums Freshers Antacid Spearmint - 2 Pk
226,Albertson's,Massachusetts,MA,9.875590082,0.071979915,2020-01-06,Appliances,Manishchewitz Gluten Free Wide Egg Noodles
342,PCC,Wyoming,WY,0.122141222,0.020543753,2021-08-08,Dairy,Gillette Fusion Proglide Cartridges - 8 Ct
525,Whole Foods,Wisconsin,WI,4.674732867,0.052504166,2022-06-13,Household,Bakery Pistachio Muffin - 4 Ct
254,City Market,Maryland,MD,4.5806213,0.07343141,2020-06-23,Bakery,Frigo Cheese Heads 100% Natural String Cheese Light - 12 Ct
758,Metropolitan Market,Tennessee,TN,4.572824294,0.042491227,2021-01-03,Sundries,Similac Advance Infant Formula With Iron Milk-based/ready To Feed - 6 Ct
566,Whole Foods,North Carolina,NC,7.471752549,0.087754159,2022-02-25,Frozen,Rice A Roni Chicken Flavor Lower Sodium Rice
184,Trader Joes,Hawaii,HI,3.408818501,0.03328966,2020-01-22,Ethnic,Oberweis Dairy Raspberry Lemonade
3,PCC,Rhode Island,RI,4.19941367,0.093985211,2020-12-29,Baking,Companion Dog Biscuits Senior
625,Safeway,Georgia,GA,4.876597502,0.085590405,2022-03-18,Furniture,Coco Lite Multigrain Pop Cakes Whole Wheat
335,City Market,Georgia,GA,9.44155872,0.039707524,2020-10-25,Meat,Nestle The Original Coffee Mate
829,Hagen's,Montana,MT,2.312083633,0.048448486,2020-05-21,Furniture,Sweetleaf Natural Stevia Sweetener Packets - 70 Ct
246,Albertson's,California,CA,5.64334782,0.076373766,2021-04-20,Electronics,Pamela's Chocolate Cake Mix
433,QFC,Georgia,GA,0.111900108,0.032077757,2020-01-29,Ethnic,Designer Gift Bag Glitterwrap
320,Trader Joes,Pennsylvania,PA,0.209539214,0.093870005,2020-02-07,Electronics,Ahold 5 Cheese Pizza Ready To Bake
893,PCC,Connecticut,CT,7.867282988,0.053167469,2020-08-23,Furniture,Rice Bran Gluten Free Mini Baguette
112,Sam's Club,Mississippi,MS,9.102820625,0.028692336,2021-11-11,Appliances,Cracker Jack Popcorn Butter Toffee
179,Metropolitan Market,Mississippi,MS,3.539790601,0.074571915,2021-05-07,Candy,Swingline Standard Desk Stapler Bonus Pack!
122,QFC,Nevada,NV,9.603193862,0.045559871,2022-01-28,Furniture,Pork Chops Bone-in Center Cut
37,Albertson's,Kentucky,KY,4.65977897,0.030864058,2020-07-02,Dairy,Pork Chops Bone-in Center Cut
966,Grocery Outlet,Wisconsin,WI,9.781420688,0.089222811,2021-04-28,Sundries,Snack Pack Tapioca Pudding - 4 Pk
892,Albertson's,Maryland,MD,7.346970011,0.024282668,2021-08-03,Meat,Pure Power Easy Grip Scrub Brush
31,Albertson's,Colorado,CO,3.851282912,0.036884438,2022-05-26,Beverages,Cocktail Rx Frozen Cocktails Blue Hawaiian
961,Sam's Club,New Hampshire,NH,5.470449957,0.059259012,2021-06-14,Produce,"Anagram Foil Balloon 18"" Happy Birthday Smiles"
495,PCC,Minnesota,MN,3.79502331,0.097638294,2021-05-28,Household,Shelton's Turkey Burgers - 3 Ct
973,Metropolitan Market,North Dakota,ND,8.261003297,0.066598832,2020-09-30,Frozen,Buckler Non-alcoholic Malt Beverage - 6 Ct
285,PCC,Missouri,MO,1.336585494,0.070681821,2020-01-01,Furniture,Cento All Purpose Crushed Tomatoes
73,Amazon Fresh,North Dakota,ND,5.171122334,0.011371321,2021-05-20,Produce,Careone Vitamin B12 500mcg Tablets - 100 Ct
505,City Market,Missouri,MO,1.536457266,0.077248879,2020-08-27,Furniture,Earth Balance Natural Peanut Butter And Flaxseed Creamy
166,QFC,Utah,UT,9.088341823,0.083375067,2020-12-25,Beverages,Looza Mango Juice Drink
290,Whole Foods,Ohio,OH,1.423262861,0.035744272,2022-06-07,Snacks,Campbell's Go Soup Coconut Curry With Chicken & Shitake Mushrooms
241,Grocery Outlet,Pennsylvania,PA,5.816060035,0.052822197,2022-05-13,Electronics,Sweet Baby Ray's Barbecue Sauce
468,Fred Meyer,West Virginia,WV,1.253702751,0.024616705,2020-02-15,Baking,Renuzit Gel Air Freshener Original
146,Hagen's,South Carolina,SC,6.458955872,0.022969747,2020-04-12,Baking,Uncle Ben's Roasted Garlic Ready Whole Grain Rice Medley
750,QFC,South Carolina,SC,0.183937734,0.02790126,2020-06-26,Household,Howe Gummi Sour Brites
327,Trader Joes,Wisconsin,WI,6.809082217,0.003403802,2020-11-29,Spices,Nabisco Ritz Bits Cheese Cracker Sandwiches
682,Costco,Connecticut,CT,0.834375228,0.014419368,2021-03-11,Dairy,Alessi Balsamic Reduction Traditional Balsamic
348,Amazon Fresh,Florida,FL,2.033593216,0.044254023,2020-09-26,Household,Allegra Allergy 12 Hour Relief Tablets - 12 Ct
593,Whole Foods,Hawaii,HI,3.458840276,0.042167069,2022-03-23,Baking,Reynolds Staybrite Baking Cups Flowers - 36 Ct
242,Albertson's,Virginia,VA,2.388433021,0.080468578,2022-04-11,Sundries,Mccormick Grill Mates Brown Sugar Bourbon Marinade
299,Safeway,Florida,FL,5.725321403,0.071279505,2020-05-09,Beverages,Ahold Cocoa Magic Cereal
28,Costco,Hawaii,HI,9.345524618,0.033444333,2020-02-04,Household,Cocktail Rx Frozen Cocktail Cosmopolitan
63,PCC,Virginia,VA,9.13194826,0.075446451,2021-08-21,Dairy,Earth Balance Natural Buttery Spread Soy Free
728,Whole Foods,Nevada,NV,4.0166007,0.073540309,2022-05-02,Appliances,T.g.i Friday's Poppers Cream Cheese Stuffed Jalapenos
458,Amazon Fresh,Delaware,DE,4.709805858,0.037850931,2021-03-15,Produce,Instant Krazy Glue - 4 Ct
866,Albertson's,California,CA,7.598729146,0.087073712,2022-05-24,Snacks,Pepperidge Farm Puff Pastry Turnovers Apple - 4 Ct
100,Grocery Outlet,Alaska,AK,5.989809637,0.028413606,2021-01-08,Meat,Campbell's Soup On The Go Chicken & Star Shaped Pasta Soup
451,Trader Joes,Nebraska,NE,9.368712129,0.022748444,2020-02-13,Sundries,Hi-c Boppin' Strawberry Fruit Juice Boxes- 10 Pk
463,Whole Foods,Ohio,OH,7.23238767,0.081871636,2020-11-09,Furniture,Werther's Original Sugar Free Hard Candies
275,Fred Meyer,Illinois,IL,6.507952798,0.020772974,2021-07-05,Seafood,Cesar Canine Cuisine Filet Mignon Flavor
425,Costco,Wyoming,WY,8.159260883,0.093466974,2020-01-10,Appliances,Freshpet Chilly Wags Natural Vanilla Flavor Frozen Treats For Dogs - 4 Ct
305,Hagen's,Missouri,MO,3.124756117,0.001824155,2021-02-28,Meat,Boston Market Spaghetti With Meatballs
823,Sam's Club,North Carolina,NC,4.047087685,0.061580583,2021-07-11,Electronics,Osem Soup & Seasoning Mix Consomme
177,Albertson's,New Jersey,NJ,3.060332132,0.001731292,2020-07-11,Appliances,Smart Living Assorted Binder Clips - 10 Ct
113,Hagen's,Iowa,IA,2.055495638,0.044016394,2020-12-04,Baking,Golden Krust Jamaican Style Spicy Beef Patties - 2 Ct
759,Costco,North Carolina,NC,6.347270428,0.048216562,2020-02-04,Sundries,Eden Organic Shelled & Dry Roasted Pistachios
727,QFC,Oregon,OR,0.996511441,0.086705467,2021-08-14,Bakery,Mccormick Grill Mates Mesquite Marinade
491,QFC,Louisiana,LA,9.043133004,0.040134366,2021-03-22,Ethnic,Urban Accents Fisherman's Wharf Seafood Seasoning
98,Amazon Fresh,Delaware,DE,3.448743819,0.081572093,2020-12-01,Frozen,Tastykake Cream Filled Koffee Kake Cupcakes Family Pack - 12 Ct
228,Metropolitan Market,Florida,FL,9.619083391,0.089822472,2021-02-16,Meat,Kikkoman Soy Sauce
17,QFC,Oklahoma,OK,2.298595199,0.023098247,2020-12-13,Produce,International Delight Coffee Creamer Irish Cream
536,Hagen's,Alaska,AK,6.106419958,0.041218368,2022-04-14,Sundries,Ahold Honey Ham - Water Added
385,Trader Joes,New Jersey,NJ,0.877320248,0.096971562,2021-02-10,Frozen,Ahold Fitness Grape Creatine
312,Metropolitan Market,New Hampshire,NH,8.138288925,0.098860088,2020-06-27,Spices,Premier Protein Crisp Crunchy Protein Bar Peanut Butter Caramel - 6 Ct
5,Fred Meyer,Nevada,NV,9.845331327,0.053287776,2021-08-12,Appliances,Whitmor Stacking Shelf White Grid Medium
428,Trader Joes,Arizona,AZ,3.250589185,0.084217634,2020-04-02,Sundries,Fruit Gushers Fruit Flavored Snacks Value Pack - 12 Ct
57,QFC,Washington,WA,0.334591395,0.070107707,2021-11-19,Furniture,Suave Naturals Everlasting Sunshine Shampoo
565,Hagen's,Florida,FL,2.39073628,0.036160355,2021-09-16,Electronics,Hot Pockets Sandwiches Cheeseburgers - 4 Ct
846,Whole Foods,Montana,MT,4.3598412,0.011631388,2020-11-21,Ethnic,Turkey Hill Premium Ice Cream Getrude Hawk Chocolates Box Of Chocolates
827,Costco,New Mexico,NM,5.607461898,0.041767879,2020-06-03,Ethnic,Currant Affair Black Currant Cranberry Juice
705,Costco,Wisconsin,WI,8.701223829,0.056343461,2022-03-08,Produce,Spectrum Essentials Prenatal Dha Softgels - 60 Ct
568,Grocery Outlet,Missouri,MO,2.600042888,0.077793796,2020-04-28,Beverages,Lundberg Risotto Butternut Squash
156,Hagen's,Louisiana,LA,7.536558252,0.009058158,2020-02-29,Spices,Twin Dragon Cookies Almond Chinese Style
181,Hagen's,Wisconsin,WI,9.055763662,0.029857572,2020-05-14,Spices,Gerber Multigrain Cereal
674,Amazon Fresh,Florida,FL,9.235061505,0.043639184,2021-03-12,Household,Pure Protein Soft Baked Protein Bar Double Double Chocolate Vanilla Crunch
615,Albertson's,Missouri,MO,1.936555702,0.026513087,2021-10-02,Snacks,Burt's Bees Green Tea & Lemongrass Hand Soap
99,Trader Joes,Ohio,OH,9.551164567,0.054777027,2020-08-23,Frozen,Rice Select Royal Blend Whole Grain
687,Albertson's,North Carolina,NC,0.571410486,0.055421866,2021-03-30,Bakery,Weight Watchers Smart Ones Smart Delights Strawberry Shortcake - 4 Ct
194,Safeway,Oklahoma,OK,9.805959374,0.063490604,2020-10-19,Bakery,Cap'n Crunch's Peanut Butter Crunch Cereal
216,Trader Joes,Mississippi,MS,7.423073293,0.048839363,2021-12-06,Electronics,Kedem Kids Animal Cookies
891,Trader Joes,Louisiana,LA,3.505515345,0.077426537,2020-09-11,Electronics,Scotch Duct Tape Pearl White
306,Costco,Oklahoma,OK,5.839762844,0.001650857,2020-10-05,Electronics,Rienzi White Clam Italian Style Pasta Sauce
54,Costco,Oklahoma,OK,9.359845878,0.075106695,2021-09-10,Candy,Newman's Own Lite Italian Dressing
701,Grocery Outlet,Kentucky,KY,3.114151147,0.040634443,2020-01-05,Appliances,Flour Gf Meal Hzlnut
683,Fred Meyer,Tennessee,TN,3.227955596,0.039062959,2022-02-13,Candy,Graeter's Ice Cream Peppermint Stick
108,Trader Joes,Georgia,GA,0.236511128,0.080140128,2022-01-15,Produce,Pepperidge Farm Entertaining Quartet Distinctive Crackers
294,Fred Meyer,Alaska,AK,2.546602366,0.04135618,2022-05-17,Seafood,Lifestyle Foods Salad Blt With Ranch
657,QFC,Idaho,ID,6.855253234,0.024097641,2020-07-16,Baking,Schar Bonta D' Italia Anellini Gluten-free
265,Hagen's,Alabama,AL,8.008526828,0.062786843,2021-08-01,Frozen,Crunchmaster Multi-grain Sea Salt Crackers
812,PCC,Missouri,MO,3.935194421,0.025505741,2021-01-26,Frozen,Jays Pork Skins
420,Amazon Fresh,District of Columbia,DC,5.652472204,0.078345961,2021-01-27,Ethnic,Morningstar Farms Grillers California Turk'y Veggie Burgers - 4 Ct
